Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},Erreur : {0},,General error prefix
_Language,French,French,,Language name - in English
_LanguageNative,French,Français,,Language name in the native language
_LanguageCode,fr,fr,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
_MANUAL_LOCATION,"http://zeus.yoyogames.com/GMS2-Robohelp-french-2.3.1.26.zip","http://zeus.yoyogames.com/GMS2-Robohelp-french-2.3.1.26.zip",,Location of language manual
_MANUAL_ONLINE_URL,https://manual-fr.yoyogames.com,https://manual-fr.yoyogames.com,,online manual url
_TUTORIALS_ONLINE_URL,https://www.yoyogames.com/fr/tutorials,https://www.yoyogames.com/fr/tutorials,,Location of Tutorials url
$win_OpenInExplorer,Open In Explorer,Ouvrir dans l'explorateur,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,Ouvrir dans l'explorateur,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,Ouvrir dans l'explorateur,,Windows version of Show Log In Explorer
$win_explorer,explorer,explorateur,,windows version of explorer
$mac_explorer,finder,finder,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,Afficher dans Finder,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,Afficher le projet dans Finder,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,Révéler l’historique dans Finder,,Mac version of Show Log In Explorer
$win_ctrl,Ctrl,Ctrl,,Windows version of ctrl key
$mac_ctrl,Command,Commande,,Mac version of ctrl key
$win_FileMenuExit,Exit,Quitter,,Windows version of the Exit main menu entry
$mac_FileMenuExit,Quit,Quitter,,Mac version of the Exit main menu entry
$win_IDEMenuHelpAbout,About,À propos,,Windows version of the About main menu entry
$mac_IDEMenuHelpAbout,About GameMaker,À propos de GameMaker,,Windows version of the About main menu entry
$win_IDEMenuViews,Windows,Fenêtres,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,Fenêtre,,Mac version of the views menu entry
Account_Menu_Login,Login,Connexion,,"Account menu ""Login"""
Account_Menu_Logout,Logout,Déconnexion,,"Acount menu ""Logout"""
Account_Menu_ManageAccount,Manage Account,Gérer son compte,,"Account menu ""Account"""
AnimationManager_InvalidTransition,The transition specified '{0}' is not valid,La transition spécifiée '{0}' n'est pas valide,,The transition specified in the animation json is not a valid value
BackgroundLayer_HSpeed,Horizontal Speed,Vitesse horizontale,,Numeric textbox label for horizontal scroll speed
BackgroundLayer_HTile,Horizontal Tile,Mosaïque horizontale,,Checkbox label for horizontal tiling
BackgroundLayer_NoBackground,<no background>,<no background>,,no background selected caption for the background layer button
BackgroundLayer_PosX,X Offset,Décalage X,,Numeric textbox label for x pos offset
BackgroundLayer_PosY,Y Offset,Décalage Y,,numeric textbox label for y pos offset
BackgroundLayer_Stretch,Stretch,Étendre,,Checkbox label for stretch
BackgroundLayer_VSpeed,Vertical Speed,Vitesse verticale,,Numeric textbox label for vertical scroll speed
BackgroundLayer_VTile,Vertical Tile,Mosaïque verticale,,Checkbox label for vertical tiling
Breakpoints,Breakpoints,Points d'arrêt,,Breakpoints
Breakpoint_Delete,Delete Breakpoint,Supprimer le point d'arrêt,,delete breakpoint menu option
