Name,English,Translation,Restrictions,Comment
_Language,French,French,,Language name - in English
_LanguageNative,French,Français,,Language name in the native language
_LanguageCode,fr,fr,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
GMStdVar_Story_1,Set ${var} to ${expr}${show_input_count},Fixer ${var} à ${expr}${show_input_count},,GML Visual story text
GMStdVar_Story_2,Set ${var} to ${expr} on ${applyto}${show_input_count},Fixer ${var} à ${expr} sur ${applyto}${show_input_count},,GML Visual story text
GMStdVar_Story_3,Add ${expr} to ${var}${show_input_count},Ajouter ${expr} à ${var}${show_input_count},,GML Visual story text
GMStdVar_Story_4,Add ${expr} to ${var} on ${applyto}${show_input_count},Ajouter ${expr} à ${var} sur ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_1,Declare temp ${var}${show_input_count},Déclarer un temp ${var}${show_input_count},,GML Visual story text
GMStdTempVar_Story_2,Declare temp ${var} on ${applyto}${show_input_count},Déclarer le temp ${var} sur ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_3,Declare temp ${var} and set it to ${value}${show_input_count},Déclarer le temp ${var} et le fixer à ${value}${show_input_count},,GML Visual story text
GMStdTempVar_Story_4,Declare temp ${var} and set it to ${value} on ${applyto}${show_input_count},Déclarer le temp ${var} et le fixer à ${value} sur ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_1,Set global variable ${var} to ${value}${show_input_count},Fixer la variable globale ${var} à ${value}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_2,Set global variable ${var} to ${value} on ${applyto}${show_input_count},Fixer la variable globale ${var} à ${value} sur ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_3,Add ${value} to global variable ${var}${show_input_count},Ajouter ${value} à la variable globale ${var}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_4,Add ${value} to global variable ${var} on ${applyto}${show_input_count},Ajouter ${value} à la variable globale ${var} sur ${applyto}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_1,Get global variable ${var} into ${output}${show_input_count},Extraire la variable globale ${var} dans ${output}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_2,Get global variable ${var} into ${output} on ${applyto}${show_input_count},Extraire la variable globale ${var} dans ${output} sur ${applyto}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_3,Get global variable ${var} into temp ${output}${show_input_count},Extraire la variable globale ${var} dans le temp ${output}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_4,Get global variable ${var} into temp ${output} on ${applyto}${show_input_count},Extraire la variable globale ${var} dans le temp ${output} sur ${applyto}${show_input_count},,GML Visual story text
GMStdIfVar_Story_1,If ${var} is not equal to ${value},Si ${var} n'est pas égal à ${value},,GML Visual story text
GMStdIfVar_Story_2,If ${var} is not equal to ${value} on ${applyto},Si ${var} n'est pas égal à ${value} sur ${applyto},,GML Visual story text
GMStdIfVar_Story_3,If ${var} is not less than ${value},Si ${var} n'est pas inférieur à ${value},,GML Visual story text
GMStdIfVar_Story_4,If ${var} is not less than ${value} on ${applyto},Si ${var} n'est pas inférieur à ${value} sur ${applyto},,GML Visual story text
GMStdIfVar_Story_5,If ${var} is not greater than ${value},Si ${var} n'est pas supérieur à ${value},,GML Visual story text
GMStdIfVar_Story_6,If ${var} is not greater than ${value} on ${applyto},Si ${var} n'est pas supérieur à ${value} sur ${applyto},,GML Visual story text
GMStdIfVar_Story_7,If ${var} is not less than or equal to ${value},Si ${var} n'est pas inférieur ou égal à ${value},,GML Visual story text
GMStdIfVar_Story_8,If ${var} is not less than or equal to ${value} on ${applyto},Si ${var} n'est pas inférieur ou égal à ${value} sur ${applyto},,GML Visual story text
GMStdIfVar_Story_9,If ${var} is not greater than or equal to ${value},Si ${var} n'est pas supérieur ou égal à ${value},,GML Visual story text
GMStdIfVar_Story_10,If ${var} is not greater than or equal to ${value} on ${applyto},Si ${var} n'est pas supérieur ou égal à ${value} sur ${applyto},,GML Visual story text
GMStdIfVar_Story_11,If ${var} is equal to ${value},Si ${var} est égal à ${value},,GML Visual story text
GMStdIfVar_Story_12,If ${var} is equal to ${value} on ${applyto},Si ${var} est égal à ${value} sur ${applyto},,GML Visual story text
GMStdIfVar_Story_13,If ${var} is less than ${value},Si ${var} est inférieur à ${value},,GML Visual story text
GMStdIfVar_Story_14,If ${var} is less than ${value} on ${applyto},Si ${var} est inférieur à ${value} sur ${applyto},,GML Visual story text
GMStdIfVar_Story_15,If ${var} is greater than ${value},Si ${var} est supérieur à ${value},,GML Visual story text
GMStdIfVar_Story_16,If ${var} is greater than ${value} on ${applyto},Si ${var} est supérieur à ${value} sur ${applyto},,GML Visual story text
GMStdIfVar_Story_17,If ${var} is less than or equal to ${value},Si ${var} est inférieur ou égal à ${value},,GML Visual story text
GMStdIfVar_Story_18,If ${var} is less than or equal to ${value} on ${applyto},Si ${var} est inférieur ou égal à ${value} sur ${applyto},,GML Visual story text
GMStdIfVar_Story_19,If ${var} is greater than or equal to ${value},Si ${var} est supérieur ou égal à ${value},,GML Visual story text
GMStdIfVar_Story_20,If ${var} is greater than or equal to ${value} on ${applyto},Si ${var} est supérieur ou égal à ${value} sur ${applyto},,GML Visual story text
GMStdIfExpr_Story_1,If ${expr} is true${show_input_count},Si ${expr} est vrai${show_input_count},,GML Visual story text
GMStdIfExpr_Story_2,If ${expr} is true on ${applyto}${show_input_count},Si ${expr} est vrai sur ${applyto}${show_input_count},,GML Visual story text
GMStdIfExpr_Story_3,If ${expr} is false${show_input_count},Si ${expr} est faux${show_input_count},,GML Visual story text
GMStdIfExpr_Story_4,If ${expr} is false on ${applyto}${show_input_count},Si ${expr} est faux sur ${applyto}${show_input_count},,GML Visual story text
GMStdIfUndef_Story_1,If ${var} is undefined${show_input_count},Si ${var} est indéfini${show_input_count},,GML Visual story text
GMStdIfUndef_Story_2,If ${var} is undefined on ${applyto}${show_input_count},Si ${var} est indéfini sur ${applyto}${show_input_count},,GML Visual story text
GMStdIfUndef_Story_3,If ${var} is not undefined${show_input_count},Si ${var} n'est pas indéfini${show_input_count},,GML Visual story text
GMStdIfUndef_Story_4,If ${var} is not undefined on ${applyto}${show_input_count},Si ${var} n'est pas indéfini sur ${applyto}${show_input_count},,GML Visual story text
GMStdElse_Story,Else,Sinon,,GML Visual story text
GMStdExCode_Story_1,Execute code,Exécuter le code,,GML Visual story text
GMStdExCode_Story_2,Execute code on ${applyto},Exécuter le code sur ${applyto},,GML Visual story text
GMStdExCode_Story_3,${overridden_name},${overridden_name},,GML Visual story text
GMStdExCode_Story_4,${overridden_name} on ${applyto},${overridden_name} sur ${applyto},,GML Visual story text
GMStdExScript_Story_1,Execute ${script},Exécuter ${script},,GML Visual story text
GMStdExScript_Story_2,Execute ${script} on ${applyto},Exécuter ${script} sur ${applyto},,GML Visual story text
GMStdExScript_Story_3,Execute ${script} with 1 argument,Exécuter ${script} avec 1 argument,,GML Visual story text
GMStdExScript_Story_4,Execute ${script} with 1 argument on ${applyto},Exécuter ${script} avec 1 argument sur ${applyto},,GML Visual story text
GMStdExScript_Story_5,Execute ${script} with ${input_count} arguments,Exécuter ${script} avec ${input_count} arguments,,GML Visual story text
GMStdExScript_Story_6,Execute ${script} with ${input_count} arguments on ${applyto},Exécuter ${script} avec ${input_count} arguments sur ${applyto},,GML Visual story text
GMStdExScript_Story_7,Execute and set ${var} to return value of ${script},Exécuter et fixer ${var} pour retourner la valeur de ${script},,GML Visual story text
GMStdExScript_Story_8,Execute and set ${var} to return value of ${script} on ${applyto},Exécuter et fixer ${var} pour retourner la valeur de ${script} sur ${applyto},,GML Visual story text
GMStdExScript_Story_9,Execute and set ${var} to return value of ${script} with 1 argument,Exécuter et fixer ${var} pour retourner la valeur de ${script} avec 1 argument,,GML Visual story text
GMStdExScript_Story_10,Execute and set ${var} to return value of ${script} with 1 argument on ${applyto},Exécuter et fixer ${var} pour retourner la valeur de ${script} avec 1 argument sur ${applyto},,GML Visual story text
GMStdExScript_Story_11,Execute and set ${var} to return value of ${script} with ${input_count} arguments,Exécuter et fixer ${var} pour retourner la valeur de ${script} avec ${input_count} arguments,,GML Visual story text
GMStdExScript_Story_12,Execute and set ${var} to return value of ${script} with ${input_count} arguments on ${applyto},Exécuter et fixer ${var} pour retourner la valeur de ${script} avec ${input_count} arguments sur ${applyto},,GML Visual story text
GMStdExScript_Story_13,Execute and set temp ${var} to return value of ${script},Exécuter et fixer le temp ${var} pour retourner la valeur de ${script},,GML Visual story text
GMStdExScript_Story_14,Execute and set temp ${var} to return value of ${script} on ${applyto},Exécuter et fixer le temp ${var} pour retourner la valeur de ${script} sur ${applyto},,GML Visual story text
GMStdExScript_Story_15,Execute and set temp ${var} to return value of ${script} with 1 argument,Exécuter et fixer le temp ${var} pour retourner la valeur de ${script} avec 1 argument,,GML Visual story text
GMStdExScript_Story_16,Execute and set temp ${var} to return value of ${script} with 1 argument on ${applyto},Exécuter et fixer le temp ${var} pour retourner la valeur de ${script} avec 1 argument sur ${applyto},,GML Visual story text
GMStdExScript_Story_17,Execute and set temp ${var} to return value of ${script} with ${input_count} arguments,Exécuter et fixer le temp ${var} pour retourner la valeur de ${script} avec ${input_count} arguments,,GML Visual story text
GMStdExScript_Story_18,Execute and set temp ${var} to return value of ${script} with ${input_count} arguments on ${applyto},Exécuter et fixer le temp ${var} pour retourner la valeur de ${script} avec ${input_count} arguments sur ${applyto},,GML Visual story text
GMStdCallFunction_Story_1,Call ${function},Appeler ${function},,GML Visual story text
GMStdCallFunction_Story_2,Call ${function} on ${applyto},Appeler ${function} sur ${applyto},,GML Visual story text
GMStdCallFunction_Story_3,Call ${function} with 1 argument,Appeler ${function} avec 1 argument,,GML Visual story text
GMStdCallFunction_Story_4,Call ${function} with 1 argument on ${applyto},Appeler ${function} avec 1 argument sur ${applyto},,GML Visual story text
GMStdCallFunction_Story_5,Call ${function} with ${input_count} arguments,Appeler ${function} avec ${input_count} arguments,,GML Visual story text
GMStdCallFunction_Story_6,Call ${function} with ${input_count} arguments on ${applyto},Appeler ${function} avec ${input_count} arguments sur ${applyto},,GML Visual story text
GMStdCallFunction_Story_7,Set ${var} to return value of ${function},Fixer ${var} pour retourner la valeur de ${function},,GML Visual story text
GMStdCallFunction_Story_8,Set ${var} to return value of ${function} on ${applyto},Fixer ${var} pour retourner la valeur de ${function} sur ${applyto},,GML Visual story text
GMStdCallFunction_Story_9,Set ${var} to return value of ${function} with 1 argument,Fixer ${var} pour retourner la valeur de ${function} avec 1 argument,,GML Visual story text
GMStdCallFunction_Story_10,Set ${var} to return value of ${function} with 1 argument on ${applyto},Fixer ${var} pour retourner la valeur de ${function} avec 1 argument sur ${applyto},,GML Visual story text
GMStdCallFunction_Story_11,Set ${var} to return value of ${function} with ${input_count} arguments,Fixer ${var} pour retourner la valeur de ${function} avec ${input_count} arguments,,GML Visual story text
GMStdCallFunction_Story_12,Set ${var} to return value of ${function} with ${input_count} arguments on ${applyto},Fixer ${var} pour retourner la valeur de ${function} avec ${input_count} arguments sur ${applyto},,GML Visual story text
GMStdCallFunction_Story_13,Set temp ${var} to return value of ${function},Fixer le temp ${var} pour retourner la valeur de ${function},,GML Visual story text
GMStdCallFunction_Story_14,Set temp ${var} to return value of ${function} on ${applyto},Fixer le temp ${var} pour retourner la valeur de ${function} sur ${applyto},,GML Visual story text
GMStdCallFunction_Story_15,Set temp ${var} to return value of ${function} with 1 argument,Fixer le temp ${var} pour retourner la valeur de ${function} avec 1 argument,,GML Visual story text
GMStdCallFunction_Story_16,Set temp ${var} to return value of ${function} with 1 argument on ${applyto},Fixer le temp ${var} pour retourner la valeur de ${function} avec 1 argument sur ${applyto},,GML Visual story text
GMStdCallFunction_Story_17,Set temp ${var} to return value of ${function} with ${input_count} arguments,Fixer le temp ${var} pour retourner la valeur de ${function} avec ${input_count} arguments,,GML Visual story text
GMStdCallFunction_Story_18,Set temp ${var} to return value of ${function} with ${input_count} arguments on ${applyto},Fixer le temp ${var} pour retourner la valeur de ${function} avec ${input_count} arguments sur ${applyto},,GML Visual story text
GMStdRet_Story_1,Return ${value},Retourner ${value},,GML Visual story text
GMStdRet_Story_2,Return ${value} on ${applyto},Retourner ${value} sur ${applyto},,GML Visual story text
GMStdApplyTo_Story_1,Apply to ${applyto},Appliquer à ${applyto},,GML Visual story text
GMStdMacro_Story_1,Define macro ${macro} as ${value}${show_input_count},Fixer la macro ${macro} à ${value}${show_input_count},,GML Visual story text
GMStdMacro_Story_2,Define macro ${macro} as ${value} on ${applyto}${show_input_count},Fixer la macro ${macro} à ${value} sur ${applyto}${show_input_count},,GML Visual story text
GMStdExit_Story,Exit the current event,Quitter l'événement en cours,,GML Visual story text
GMStdInstCreate_Story_1,Create ${objectid} at ${dnd_pos},Créer ${objectid} à ${dnd_pos},,GML Visual story text
GMStdInstCreate_Story_2,Create ${objectid} at ${dnd_pos} on ${applyto},Créer ${objectid} à ${dnd_pos} sur ${applyto},,GML Visual story text
GMStdInstCreate_Story_3,Create ${objectid} at ${dnd_pos} into ${var},Créer ${objectid} à ${dnd_pos} dans ${var},,GML Visual story text
GMStdInstCreate_Story_4,Create ${objectid} at ${dnd_pos} into ${var} on ${applyto},Créer ${objectid} à ${dnd_pos} dans ${var} sur ${applyto},,GML Visual story text
GMStdInstCreate_Story_5,Create ${objectid} at ${dnd_pos} into temp ${var},Créer ${objectid} à ${dnd_pos} dans le temp ${var},,GML Visual story text
GMStdInstCreate_Story_6,Create ${objectid} at ${dnd_pos} into temp ${var} on ${applyto},Créer ${objectid} à ${dnd_pos} dans le temp ${var} sur ${applyto},,GML Visual story text
GMStdInstDestroy_Story_1,Destroy this instance,Supprimer cette instance,,GML Visual story text
GMStdInstDestroy_Story_2,Destroy ${applyto} on ${applyto},Supprimer ${applyto} sur ${applyto},,GML Visual story text
GMStdDestroyAtPos_Story_1,Destroy instances at ${dnd_pos},Supprimer les instances à ${dnd_pos},,GML Visual story text
GMStdDestroyAtPos_Story_2,Destroy instances at ${dnd_pos} on ${applyto},Supprimer les instances à ${dnd_pos} sur ${applyto},,GML Visual story text
GMStdInstChange_Story_1,Change into ${objind},Changer en ${objind},,GML Visual story text
GMStdInstChange_Story_2,Change ${applyto} into ${objind} on ${applyto},Changer ${applyto} en ${objind} sur ${applyto},,GML Visual story text
GMStdSetAlarm_Story_1,Set alarm ${alarm} to ${steps}${show_input_count},Régler l'alarme ${alarm} à ${steps}${show_input_count},,GML Visual story text
GMStdSetAlarm_Story_2,Set alarm ${alarm} to ${steps} on ${applyto}${show_input_count},Régler l'alarme ${alarm} à ${steps} sur ${applyto}${show_input_count},,GML Visual story text
GMStdSetAlarm_Story_3,Add ${steps} to alarm ${alarm}${show_input_count},Ajouter ${steps} à l'alarme ${alarm}${show_input_count},,GML Visual story text
GMStdSetAlarm_Story_4,Add ${steps} to alarm ${alarm} on ${applyto}${show_input_count},Ajouter ${steps} à l'alarme ${alarm} sur ${applyto}${show_input_count},,GML Visual story text
