Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},Fehler: {0},,General error prefix
_Language,German,German,,Language name - in English
_LanguageNative,German,Deutsche,,Language name in the native language
_LanguageCode,de,de,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
_MANUAL_LOCATION,"http://zeus.yoyogames.com/GMS2-Robohelp-german-2.3.1.29.zip","http://zeus.yoyogames.com/GMS2-Robohelp-german-2.3.1.29.zip",,Location of language manual
_MANUAL_ONLINE_URL,https://manual-de.yoyogames.com,https://manual-de.yoyogames.com,,online manual url
_TUTORIALS_ONLINE_URL,https://www.yoyogames.com/de/tutorials,https://www.yoyogames.com/de/tutorials,,Location of Tutorials url
$win_OpenInExplorer,Open In Explorer,In Explorer öffnen,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,Projekt in Explorer öffnen,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,Protokoll in Explorer öffnen,,Windows version of Show Log In Explorer
$win_explorer,explorer,explorer,,windows version of explorer
$mac_explorer,finder,finder,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,In Finder anzeigen,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,Projekt in Finder anzeigen,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,Protokoll in Finder anzeigen,,Mac version of Show Log In Explorer
$win_ctrl,Ctrl,Strg,,Windows version of ctrl key
$mac_ctrl,Command,Command,,Mac version of ctrl key
$win_FileMenuExit,Exit,Beenden,,Windows version of the Exit main menu entry
$mac_FileMenuExit,Quit,Verlassen,,Mac version of the Exit main menu entry
$win_IDEMenuHelpAbout,About,Über,,Windows version of the About main menu entry
$mac_IDEMenuHelpAbout,About GameMaker,Über GameMaker,,Windows version of the About main menu entry
$win_IDEMenuViews,Windows,Fenster,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,Fenster,,Mac version of the views menu entry
Account_Menu_Login,Login,Anmelden,,"Account menu ""Login"""
