Name,English,Translation,Restrictions,Comment
_Language,German,German,,Language name - in English
_LanguageNative,German,Deutsche,,Language name in the native language
_LanguageCode,de,de,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
GMStdVar_Story_1,Set ${var} to ${expr}${show_input_count},${var} setzen auf ${expr}${show_input_count},,GML Visual story text
GMStdVar_Story_2,Set ${var} to ${expr} on ${applyto}${show_input_count},${var} setzen auf ${expr} auf ${applyto}${show_input_count},,GML Visual story text
GMStdVar_Story_3,Add ${expr} to ${var}${show_input_count},${expr} hinzufügen zu ${var}${show_input_count},,GML Visual story text
GMStdVar_Story_4,Add ${expr} to ${var} on ${applyto}${show_input_count},${expr} hinzufügen zu ${var} auf ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_1,Declare temp ${var}${show_input_count},Temp deklarieren ${var}${show_input_count},,GML Visual story text
GMStdTempVar_Story_2,Declare temp ${var} on ${applyto}${show_input_count},Temp ${var} deklarieren auf ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_3,Declare temp ${var} and set it to ${value}${show_input_count},Temp ${var} deklarieren und setzen auf ${value}${show_input_count},,GML Visual story text
GMStdTempVar_Story_4,Declare temp ${var} and set it to ${value} on ${applyto}${show_input_count},Temp ${var} deklarieren und setzen auf ${value} auf ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_1,Set global variable ${var} to ${value}${show_input_count},Globale Variable ${var} setzen auf ${value}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_2,Set global variable ${var} to ${value} on ${applyto}${show_input_count},Globale Variable ${var} setzen auf ${value} auf ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_3,Add ${value} to global variable ${var}${show_input_count},${value} zu globaler Variable hinzufügen ${var}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_4,Add ${value} to global variable ${var} on ${applyto}${show_input_count},${value} zu globaler Variable ${var} hinzufügen auf ${applyto}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_1,Get global variable ${var} into ${output}${show_input_count},Globale Variable ${var} abrufen in ${output}${show_input_count},,GML Visual story text
