Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},Errore: {0},,General error prefix
_Language,Italian,Italian,,Language name - in English
_LanguageNative,Italian,Italiano,,Language name in the native language
_LanguageCode,it,it,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
_MANUAL_ONLINE_URL,https://manual-it.yoyogames.com,https://manual-it.yoyogames.com,,online manual url
_TUTORIALS_ONLINE_URL,https://www.yoyogames.com/it/tutorials,https://www.yoyogames.com/it/tutorials,,Location of Tutorials url
$win_OpenInExplorer,Open In Explorer,Apri in Esplora file,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,Apri progetto in Esplora file,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,Apri log in Esplora file,,Windows version of Show Log In Explorer
$win_explorer,explorer,Esplora file,,windows version of explorer
$mac_explorer,finder,Finder,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,Mostra in Finder,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,Mostra progetto in Finder,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,Visualizza log in Finder,,Mac version of Show Log In Explorer
$linux_explorer,file manager,File Manager,,Linux version of explorer
$linux_OpenInExplorer,Show In File Manager,Mostra in File Manager,,Linux version of Open In Explorer
$linux_OpenProjectInExplorer,Show Project In File Manager,Mostra progetto in File Manager,,Linux version of Open Project In Explorer
$linux_ShowLogFileInExplorer,Reveal Log In File Manager,Visualizza log in File Manager,,Linux version of Show Log In Explorer
$win_ctrl,Ctrl,Ctrl,,Windows version of ctrl key
$mac_ctrl,Command,Comando,,Mac version of ctrl key
$linux_ctrl,Ctrl,Ctrl,,Linux version of ctrl key
$win_FileMenuExit,Exit,Esci,,Windows version of the Exit main menu entry
$mac_FileMenuExit,Quit,Esci,,Mac version of the Exit main menu entry
$linux_FileMenuExit,Exit,Esci,,Linux version of the Exit main menu entry
$win_IDEMenuHelpAbout,About,Informazioni,,Windows version of the About main menu entry
$mac_IDEMenuHelpAbout,About GameMaker,Informazioni su GameMaker,,Mac version of the About main menu entry
$linux_IDEMenuHelpAbout,About,Informazioni,,Linux version of the About main menu entry
$win_IDEMenuViews,Windows,Windows,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,Finestra,,Mac version of the views menu entry
$linux_IDEMenuViews,Windows,Windows,,Linux version of the views menu entry
$win_LaptopRHSKeys,Right Control and Right Alt,Ctrl destro e Alt destro,,Windows version of laptop mode keys
$mac_LaptopRHSKeys,Right Command and Right Alt,Comando destro e Alt destro,,Mac version of laptop mode keys
$linux_LaptopRHSKeys,Right Control and Right Alt,Ctrl destro e Alt destro,,Linux version of laptop mode keys
$win_LaptopLZoomKey,Left Control,Ctrl sinistro,,Windows laptop mode zoom key
$mac_LaptopLZoomKey,Left Command,Comando sinistro,,Mac laptop mode zoom key
$linux_LaptopLZoomKey,Left Control,Ctrl sinistro,,Linux laptop mode zoom key
Account_Menu_Login,Login,Accedi,,"Account menu ""Login"""
Account_Menu_Logout,Logout,Disconnetti,,"Acount menu ""Logout"""
Account_Menu_ManageAccount,Manage Account,Gestione account,,"Account menu ""Account"""
