Name,English,Translation,Restrictions,Comment
_Language,Italian,Italian,,Language name - in English
_LanguageNative,Italian,Italiano,,Language name in the native language
_LanguageCode,it,it,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
GMStdSeqSetHead_Story_1,Set head position (in frames) of sequence instance ${sequenceelmid} to ${var},Imposta la posizione della testina (in frame) dell’istanza della sequenza ${sequenceelmid} su ${var},,GML Visual story text
GMStdSeqGetHead_Story_1,Get head position (in frames) of sequence instance ${sequenceelmid} into ${var},Ritorna la posizione della testina (in frame) dell’istanza della sequenza ${sequenceelmid} in ${var},,GML Visual story text
GMStdSeqGetHead_Story_2,Get head position (in frames) of sequence instance ${sequenceelmid} into temp ${var},Ritorna la posizione della testina (in frame) dell’istanza della sequenza ${sequenceelmid} nella variabile temporanea ${var},,GML Visual story text
GMStdVar_Story_1,Set ${var} to ${expr}${show_input_count},Imposta ${var} su ${expr}${show_input_count},,GML Visual story text
GMStdVar_Story_2,Set ${var} to ${expr} on ${applyto}${show_input_count},Imposta ${var} su ${expr} in ${applyto}${show_input_count},,GML Visual story text
GMStdVar_Story_3,Add ${expr} to ${var}${show_input_count},Aggiunge ${expr} a ${var}${show_input_count},,GML Visual story text
GMStdVar_Story_4,Add ${expr} to ${var} on ${applyto}${show_input_count},Aggiungi ${expr} a ${var} in ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_1,Declare temp ${var}${show_input_count},Dichiara la variabile temporanea ${var}${show_input_count},,GML Visual story text
GMStdTempVar_Story_2,Declare temp ${var} on ${applyto}${show_input_count},Dichiara la variabile temporanea ${var} in ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_3,Declare temp ${var} and set it to ${value}${show_input_count},Dichiara la variabile temporanea ${var} e la imposta su ${value}${show_input_count},,GML Visual story text
GMStdTempVar_Story_4,Declare temp ${var} and set it to ${value} on ${applyto}${show_input_count},Dichiara la variabile temporanea ${var} e la imposta su ${value} in ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_1,Set global variable ${var} to ${value}${show_input_count},Imposta la variabile globale ${var} su ${value}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_2,Set global variable ${var} to ${value} on ${applyto}${show_input_count},Imposta la variabile globale ${var} su ${value} in ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_3,Add ${value} to global variable ${var}${show_input_count},Aggiunge ${value} alla variabile globale ${var}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_4,Add ${value} to global variable ${var} on ${applyto}${show_input_count},Aggiunge ${value} alla variabile globale ${var} in ${applyto}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_1,Get global variable ${var} into ${output}${show_input_count},Richiama la variabile globale ${var} e la assegna a ${output}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_2,Get global variable ${var} into ${output} on ${applyto}${show_input_count},Richiama la variabile globale ${var} e la assegna a ${output} in ${applyto}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_3,Get global variable ${var} into temp ${output}${show_input_count},Richiama la variabile globale ${var} e la assegna alla variabile temporanea ${output}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_4,Get global variable ${var} into temp ${output} on ${applyto}${show_input_count},Richiama la variabile globale ${var} e la assegna alla variabile temporanea ${output} in ${applyto}${show_input_count},,GML Visual story text
GMStdIfVar_Story_1,If ${var} is not equal to ${value},Rileva se ${var} è diverso da ${value},,GML Visual story text
GMStdIfVar_Story_2,If ${var} is not equal to ${value} on ${applyto},Rileva se ${var} è diverso da ${value} in ${applyto},,GML Visual story text
GMStdIfVar_Story_3,If ${var} is not less than ${value},Rileva se ${var} non è minore di ${value},,GML Visual story text
GMStdIfVar_Story_4,If ${var} is not less than ${value} on ${applyto},Rileva se ${var} non è minore di ${value} in ${applyto},,GML Visual story text
GMStdIfVar_Story_5,If ${var} is not greater than ${value},Rileva se ${var} non è maggiore di ${value},,GML Visual story text
GMStdIfVar_Story_6,If ${var} is not greater than ${value} on ${applyto},Rileva se ${var} non è maggiore di ${value} in ${applyto},,GML Visual story text
GMStdIfVar_Story_7,If ${var} is not less than or equal to ${value},Rileva se ${var} non è minore o uguale a ${value},,GML Visual story text
GMStdIfVar_Story_8,If ${var} is not less than or equal to ${value} on ${applyto},Rileva se ${var} non è minore o uguale a ${value} in ${applyto},,GML Visual story text
GMStdIfVar_Story_9,If ${var} is not greater than or equal to ${value},Rileva se ${var} non è maggiore o uguale a ${value},,GML Visual story text
