Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},エラー：{0},,General error prefix
_Language,Japanese,Japanese,,Language name - in English
_LanguageNative,Japanese,日本語,,Language name in the native language
_LanguageCode,en,ja,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
_MANUAL_ONLINE_URL,https://manual-ja.yoyogames.com,https://manual-ja.yoyogames.com,,online manual url
_TUTORIALS_ONLINE_URL,https://www.yoyogames.com/ja/tutorials,https://www.yoyogames.com/ja/tutorials,,Location of Tutorials url
$win_OpenInExplorer,Open In Explorer,エクスプローラーで開く,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,プロジェクトをエクスプローラーで開く,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,エクスプローラーからログを開く,,Windows version of Show Log In Explorer
$win_explorer,explorer,エクスプローラー,,windows version of explorer
$mac_explorer,finder,ファインダー,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,ファインダーで表示する,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,プロジェクトをファインダーで表示する,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,ログをファインダーで表示する,,Mac version of Show Log In Explorer
$linux_explorer,file manager,ファイルマネージャー,,Linux version of explorer
$linux_OpenInExplorer,Show In File Manager,ファイルマネージャーで表示する,,Linux version of Open In Explorer
$linux_OpenProjectInExplorer,Show Project In File Manager,プロジェクトをファイルマネージャーで表示する,,Linux version of Open Project In Explorer
$linux_ShowLogFileInExplorer,Reveal Log In File Manager,ログをファイルマネージャーで表示する,,Linux version of Show Log In Explorer
$win_ctrl,Ctrl,Ctrl,,Windows version of ctrl key
$mac_ctrl,Command,コマンド,,Mac version of ctrl key
$linux_ctrl,Ctrl,Ctrl,,Linux version of ctrl key
$win_FileMenuExit,Exit,終了,,Windows version of the Exit main menu entry
$mac_FileMenuExit,Quit,終了,,Mac version of the Exit main menu entry
$linux_FileMenuExit,Exit,終了,,Linux version of the Exit main menu entry
$win_IDEMenuHelpAbout,About,バージョン情報,,Windows version of the About main menu entry
$mac_IDEMenuHelpAbout,About GameMaker,GameMaker のバージョン情報,,Mac version of the About main menu entry
$linux_IDEMenuHelpAbout,About,バージョン情報,,Linux version of the About main menu entry
$win_IDEMenuViews,Windows,Windows,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,ウィンドウ,,Mac version of the views menu entry
$linux_IDEMenuViews,Windows,Windows,,Linux version of the views menu entry
$win_LaptopRHSKeys,Right Control and Right Alt,右 Ctrl と右 Alt,,Windows version of laptop mode keys
$mac_LaptopRHSKeys,Right Command and Right Alt,右 Command と右 Alt,,Mac version of laptop mode keys
$linux_LaptopRHSKeys,Right Control and Right Alt,右 Ctrl と右 Alt,,Linux version of laptop mode keys
$win_LaptopLZoomKey,Left Control,左 Ctrl,,Windows laptop mode zoom key
$mac_LaptopLZoomKey,Left Command,左 Command,,Mac laptop mode zoom key
$linux_LaptopLZoomKey,Left Control,左 Ctrl,,Linux laptop mode zoom key
Account_Menu_Login,Login,ログイン,,"Account menu ""Login"""
Account_Menu_Logout,Logout,ログアウト,,"Acount menu ""Logout"""
