Name,English,Translation,Restrictions,Comment
_Language,Japanese,Japanese,,Language name - in English
_LanguageNative,Japanese,日本語,,Language name in the native language
_LanguageCode,ja,ja,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
GMStdSeqSetHead_Story_1,Set head position (in frames) of sequence instance ${sequenceelmid} to ${var},シーケンスインスタンス ${sequenceelmid} のヘッド位置 (フレーム番号) を ${var} に設定します,,GML Visual story text
GMStdSeqGetHead_Story_1,Get head position (in frames) of sequence instance ${sequenceelmid} into ${var},シーケンスインスタンス ${sequenceelmid} のヘッド位置 (フレーム番号) を取得して ${var} に入れます,,GML Visual story text
GMStdSeqGetHead_Story_2,Get head position (in frames) of sequence instance ${sequenceelmid} into temp ${var},シーケンスインスタンス ${sequenceelmid} のヘッド位置 (フレーム番号) を取得して、一時変数 ${var} に入れます,,GML Visual story text
GMStdVar_Story_1,Set ${var} to ${expr}${show_input_count},${var} を ${expr} に設定します ${show_input_count},,GML Visual story text
GMStdVar_Story_2,Set ${var} to ${expr} on ${applyto}${show_input_count},${applyto} で ${var} を ${expr} に設定します ${show_input_count},,GML Visual story text
GMStdVar_Story_3,Add ${expr} to ${var}${show_input_count},${expr} を ${var} に加算します ${show_input_count},,GML Visual story text
GMStdVar_Story_4,Add ${expr} to ${var} on ${applyto}${show_input_count},${applyto} で ${expr} を ${var} に加算します ${show_input_count},,GML Visual story text
GMStdTempVar_Story_1,Declare temp ${var}${show_input_count},一時変数 ${var} を宣言します ${show_input_count},,GML Visual story text
GMStdTempVar_Story_2,Declare temp ${var} on ${applyto}${show_input_count},${applyto} に一時変数 ${var} を宣言します ${show_input_count},,GML Visual story text
GMStdTempVar_Story_3,Declare temp ${var} and set it to ${value}${show_input_count},一時変数 ${var} を宣言し、${value} に設定します ${show_input_count},,GML Visual story text
GMStdTempVar_Story_4,Declare temp ${var} and set it to ${value} on ${applyto}${show_input_count},${applyto} に一時変数 ${var} を宣言し、${value} に設定します ${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_1,Set global variable ${var} to ${value}${show_input_count},グローバル変数 ${var} を ${value} に設定します ${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_2,Set global variable ${var} to ${value} on ${applyto}${show_input_count},${applyto} でグローバル変数 ${var} を ${value} に設定します ${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_3,Add ${value} to global variable ${var}${show_input_count},${value} をグローバル変数 ${var} に加算します ${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_4,Add ${value} to global variable ${var} on ${applyto}${show_input_count},${applyto} で ${value} をグローバル変数 ${var} に加算します ${show_input_count},,GML Visual story text
