Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},오류: {0},,General error prefix
_Language,Korean,Korean,,Language name - in English
_LanguageNative,Korean,한국어,,Language name in the native language
_LanguageCode,ko,ko,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
_MANUAL_ONLINE_URL,https://manual-ko.yoyogames.com,https://manual-ko.yoyogames.com,,online manual url
_TUTORIALS_ONLINE_URL,https://www.yoyogames.com/ko/tutorials,https://www.yoyogames.com/ko/tutorials,,Location of Tutorials url
$win_OpenInExplorer,Open In Explorer,탐색기에서 열기,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,탐색기에서 프로젝트 열기,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,탐색기에서 로그 열기,,Windows version of Show Log In Explorer
$win_explorer,explorer,탐색기,,windows version of explorer
$mac_explorer,finder,finder,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,Finder에서 표시,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,Finder에서 프로젝트 표시,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,Finder에서 로그 표시,,Mac version of Show Log In Explorer
$linux_explorer,file manager,파일 관리자,,Linux version of explorer
$linux_OpenInExplorer,Show In File Manager,파일 관리자에서 표시,,Linux version of Open In Explorer
$linux_OpenProjectInExplorer,Show Project In File Manager,파일 관리자에서 프로젝트 표시,,Linux version of Open Project In Explorer
$linux_ShowLogFileInExplorer,Reveal Log In File Manager,파일 관리자에서 로그 표시,,Linux version of Show Log In Explorer
$win_ctrl,Ctrl,Ctrl,,Windows version of ctrl key
$mac_ctrl,Command,Command,,Mac version of ctrl key
$linux_ctrl,Ctrl,Ctrl,,Linux version of ctrl key
$win_FileMenuExit,Exit,종료,,Windows version of the Exit main menu entry
$mac_FileMenuExit,Quit,끝내기,,Mac version of the Exit main menu entry
$linux_FileMenuExit,Exit,종료,,Linux version of the Exit main menu entry
$win_IDEMenuHelpAbout,About,알아보기,,Windows version of the About main menu entry
$mac_IDEMenuHelpAbout,About GameMaker,GameMaker 알아보기,,Mac version of the About main menu entry
$linux_IDEMenuHelpAbout,About,알아보기,,Linux version of the About main menu entry
$win_IDEMenuViews,Windows,Windows,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,윈도우,,Mac version of the views menu entry
$linux_IDEMenuViews,Windows,Windows,,Linux version of the views menu entry
$win_LaptopRHSKeys,Right Control and Right Alt,오른쪽 Ctrl + 오른쪽 Alt,,Windows version of laptop mode keys
$mac_LaptopRHSKeys,Right Command and Right Alt,오른쪽 Command + 오른쪽 Alt,,Mac version of laptop mode keys
$linux_LaptopRHSKeys,Right Control and Right Alt,오른쪽 Ctrl + 오른쪽 Alt,,Linux version of laptop mode keys
$win_LaptopLZoomKey,Left Control,왼쪽 Ctrl,,Windows laptop mode zoom key
$mac_LaptopLZoomKey,Left Command,왼쪽 Command,,Mac laptop mode zoom key
$linux_LaptopLZoomKey,Left Control,왼쪽 Ctrl,,Linux laptop mode zoom key
Account_Menu_Login,Login,로그인,,"Account menu ""Login"""
Account_Menu_Logout,Logout,로그아웃,,"Acount menu ""Logout"""
