Name,English,Translation,Restrictions,Comment
_Language,Korean,Korean,,Language name - in English
_LanguageNative,Korean,한국어,,Language name in the native language
_LanguageCode,ko,ko,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
GMStdSeqSetHead_Story_1,Set head position (in frames) of sequence instance ${sequenceelmid} to ${var},시퀀스 인스턴스 ${sequenceelmid}의 헤드 위치(프레임 내)를 ${var}(으)로 설정,,GML Visual story text
GMStdSeqGetHead_Story_1,Get head position (in frames) of sequence instance ${sequenceelmid} into ${var},시퀀스 인스턴스 ${sequenceelmid}의 헤드 위치(프레임 내)를 ${var}(으)로 가져오기,,GML Visual story text
GMStdSeqGetHead_Story_2,Get head position (in frames) of sequence instance ${sequenceelmid} into temp ${var},시퀀스 인스턴스 ${sequenceelmid}의 헤드 위치(프레임 내)를 임시 ${var}(으)로 가져오기,,GML Visual story text
GMStdVar_Story_1,Set ${var} to ${expr}${show_input_count},${var}을(를) ${expr}${show_input_count}(으)로 설정,,GML Visual story text
GMStdVar_Story_2,Set ${var} to ${expr} on ${applyto}${show_input_count},${applyto}${show_input_count}에서 ${var}을(를) ${expr}(으)로 설정,,GML Visual story text
GMStdVar_Story_3,Add ${expr} to ${var}${show_input_count},${expr}을(를) ${var}${show_input_count}에 추가,,GML Visual story text
GMStdVar_Story_4,Add ${expr} to ${var} on ${applyto}${show_input_count},${applyto}${show_input_count}에서 ${expr}을(를) ${var}에 추가,,GML Visual story text
GMStdTempVar_Story_1,Declare temp ${var}${show_input_count},임시 ${var}${show_input_count} 선언,,GML Visual story text
GMStdTempVar_Story_2,Declare temp ${var} on ${applyto}${show_input_count},${applyto}${show_input_count}에서 임시 ${var} 선언,,GML Visual story text
GMStdTempVar_Story_3,Declare temp ${var} and set it to ${value}${show_input_count},임시 ${var}을(를) 선언하고 이를 ${value}${show_input_count}(으)로 설정,,GML Visual story text
GMStdTempVar_Story_4,Declare temp ${var} and set it to ${value} on ${applyto}${show_input_count},임시 ${var}을(를) 선언하고 이를 ${value}${show_input_count}에서 ${value}(으)로 설정,,GML Visual story text
GMStdSetGlobal_Story_1,Set global variable ${var} to ${value}${show_input_count},전역 변수 ${var}을(를) ${value}${show_input_count}(으)로 설정,,GML Visual story text
GMStdSetGlobal_Story_2,Set global variable ${var} to ${value} on ${applyto}${show_input_count},${applyto}${show_input_count}에서 전역 변수 ${var}을(를) ${value}(으)로 설정,,GML Visual story text
GMStdSetGlobal_Story_3,Add ${value} to global variable ${var}${show_input_count},${value}을(를) 전역 변수 ${var}${show_input_count}에 추가,,GML Visual story text
GMStdSetGlobal_Story_4,Add ${value} to global variable ${var} on ${applyto}${show_input_count},${applyto}${show_input_count}에서 ${value}을(를) 전역 변수 ${var}에 추가,,GML Visual story text
GMStdGetGlobal_Story_1,Get global variable ${var} into ${output}${show_input_count},전역 변수 ${var}을(를) ${output}${show_input_count}(으)로 가져오기,,GML Visual story text
GMStdGetGlobal_Story_2,Get global variable ${var} into ${output} on ${applyto}${show_input_count},${applyto}${show_input_count}에서 전역 변수 ${var}을(를) ${output}(으)로 가져오기,,GML Visual story text
