Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},Błąd: {0},,General error prefix
_Language,Polish,Polish,,Language name - in English
_LanguageNative,Polish,Polski,,Language name in the native language
_LanguageCode,en,pl,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
_MANUAL_ONLINE_URL,https://manual-pl.yoyogames.com,https://manual-pl.yoyogames.com,,online manual url
_TUTORIALS_ONLINE_URL,https://www.yoyogames.com/pl/tutorials,https://www.yoyogames.com/pl/tutorials,,Location of Tutorials url
$win_OpenInExplorer,Open In Explorer,Otwórz w Eksploratorze,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,Otwórz projekt w Eksploratorze,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,Otwórz dziennik w Eksploratorze,,Windows version of Show Log In Explorer
$win_explorer,explorer,eksplorator,,windows version of explorer
$mac_explorer,finder,finder,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,Pokaż w Finderze,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,Pokaż projekt w Finderze,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,Wyświetl dziennik w Finderze,,Mac version of Show Log In Explorer
$linux_explorer,file manager,menedżer plików,,Linux version of explorer
$linux_OpenInExplorer,Show In File Manager,Pokaż w Menedżerze plików,,Linux version of Open In Explorer
$linux_OpenProjectInExplorer,Show Project In File Manager,Pokaż projekt w Menedżerze plików,,Linux version of Open Project In Explorer
$linux_ShowLogFileInExplorer,Reveal Log In File Manager,Wyświetl dziennik w Menedżerze plików,,Linux version of Show Log In Explorer
$win_ctrl,Ctrl,Ctrl,,Windows version of ctrl key
$mac_ctrl,Command,Command,,Mac version of ctrl key
$linux_ctrl,Ctrl,Ctrl,,Linux version of ctrl key
$win_FileMenuExit,Exit,Zakończ,,Windows version of the Exit main menu entry
$mac_FileMenuExit,Quit,Zamknij,,Mac version of the Exit main menu entry
$linux_FileMenuExit,Exit,Zakończ,,Linux version of the Exit main menu entry
$win_IDEMenuHelpAbout,About,O produkcie,,Windows version of the About main menu entry
$mac_IDEMenuHelpAbout,About GameMaker,GameMaker – informacje,,Mac version of the About main menu entry
$linux_IDEMenuHelpAbout,About,O produkcie,,Linux version of the About main menu entry
$win_IDEMenuViews,Windows,Windows,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,Okno,,Mac version of the views menu entry
$linux_IDEMenuViews,Windows,Windows,,Linux version of the views menu entry
$win_LaptopRHSKeys,Right Control and Right Alt,Prawy Control i prawy Alt,,Windows version of laptop mode keys
$mac_LaptopRHSKeys,Right Command and Right Alt,Prawy Command i prawy Alt,,Mac version of laptop mode keys
$linux_LaptopRHSKeys,Right Control and Right Alt,Prawy Control i prawy Alt,,Linux version of laptop mode keys
$win_LaptopLZoomKey,Left Control,Lewy Control,,Windows laptop mode zoom key
$mac_LaptopLZoomKey,Left Command,Lewy Command,,Mac laptop mode zoom key
$linux_LaptopLZoomKey,Left Control,Lewy Control,,Linux laptop mode zoom key
Account_Menu_Login,Login,Zaloguj się,,"Account menu ""Login"""
Account_Menu_Logout,Logout,Wylogowanie,,"Acount menu ""Logout"""
