Name,English,Translation,Restrictions,Comment
_Language,Polish,Polish,,Language name - in English
_LanguageNative,Polish,Polski,,Language name in the native language
_LanguageCode,pl,pl,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
GMStdSeqSetHead_Story_1,Set head position (in frames) of sequence instance ${sequenceelmid} to ${var},Ustaw położenie głowicy (w ramkach) wystąpienia sekwencji ${sequenceelmid} na zmienną ${var},,GML Visual story text
GMStdSeqGetHead_Story_1,Get head position (in frames) of sequence instance ${sequenceelmid} into ${var},Pobierz położenie głowicy (w ramkach) wystąpienia sekwencji ${sequenceelmid} do zmiennej ${var},,GML Visual story text
GMStdSeqGetHead_Story_2,Get head position (in frames) of sequence instance ${sequenceelmid} into temp ${var},Pobierz położenie głowicy (w ramkach) wystąpienia sekwencji ${sequenceelmid} do zmiennej tymczasowej ${var},,GML Visual story text
GMStdVar_Story_1,Set ${var} to ${expr}${show_input_count},Ustaw dla zmiennej ${var} wyrażenie ${expr}${show_input_count},,GML Visual story text
GMStdVar_Story_2,Set ${var} to ${expr} on ${applyto}${show_input_count},Ustaw dla zmiennej ${var} wyrażenie ${expr} w odniesieniu do: ${applyto}${show_input_count},,GML Visual story text
GMStdVar_Story_3,Add ${expr} to ${var}${show_input_count},Dodaj wyrażenie ${expr} do zmiennej ${var}${show_input_count},,GML Visual story text
GMStdVar_Story_4,Add ${expr} to ${var} on ${applyto}${show_input_count},Dodaj wyrażenie ${expr} do zmiennej ${var} w odniesieniu do: ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_1,Declare temp ${var}${show_input_count},Zadeklaruj zmienną tymczasową ${var}${show_input_count},,GML Visual story text
GMStdTempVar_Story_2,Declare temp ${var} on ${applyto}${show_input_count},Zadeklaruj zmienną tymczasową ${var} w odniesieniu do: ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_3,Declare temp ${var} and set it to ${value}${show_input_count},Zadeklaruj zmienną tymczasową ${var} i ustaw dla niej wartość ${value}${show_input_count},,GML Visual story text
GMStdTempVar_Story_4,Declare temp ${var} and set it to ${value} on ${applyto}${show_input_count},Zadeklaruj zmienną tymczasową ${var} i ustaw dla niej wartość ${value} w odniesieniu do: ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_1,Set global variable ${var} to ${value}${show_input_count},Ustaw zmienną globalną ${var} na ${value}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_2,Set global variable ${var} to ${value} on ${applyto}${show_input_count},Ustaw zmienną globalną ${var} na ${value} w odniesieniu do: ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_3,Add ${value} to global variable ${var}${show_input_count},Dodaj wartość ${value} do zmiennej globalnej ${var}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_4,Add ${value} to global variable ${var} on ${applyto}${show_input_count},Dodaj wartość ${value} do zmiennej globalnej ${var} w odniesieniu do: ${applyto}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_1,Get global variable ${var} into ${output}${show_input_count},Pobierz zmienną globalną ${var} do ${output}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_2,Get global variable ${var} into ${output} on ${applyto}${show_input_count},Pobierz zmienną globalną ${var} do ${output} w odniesieniu do: ${applyto}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_3,Get global variable ${var} into temp ${output}${show_input_count},Pobierz zmienną globalną ${var} do tymczasowej lokalizacji ${output}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_4,Get global variable ${var} into temp ${output} on ${applyto}${show_input_count},Pobierz zmienną globalną ${var} do tymczasowej lokalizacji ${output} w odniesieniu do: ${applyto}${show_input_count},,GML Visual story text
GMStdIfVar_Story_1,If ${var} is not equal to ${value},Jeśli zmienna ${var} jest różna od ${value},,GML Visual story text
GMStdIfVar_Story_2,If ${var} is not equal to ${value} on ${applyto},Jeśli zmienna ${var} jest różna od ${value} w odniesieniu do: ${applyto},,GML Visual story text
GMStdIfVar_Story_3,If ${var} is not less than ${value},Jeśli zmienna ${var} jest nie mniejsza niż ${value},,GML Visual story text
GMStdIfVar_Story_4,If ${var} is not less than ${value} on ${applyto},Jeśli zmienna ${var} jest nie mniejsza niż ${value} w odniesieniu do: ${applyto},,GML Visual story text
GMStdIfVar_Story_5,If ${var} is not greater than ${value},Jeśli zmienna ${var} jest nie większa niż ${value},,GML Visual story text
GMStdIfVar_Story_6,If ${var} is not greater than ${value} on ${applyto},Jeśli zmienna ${var} jest nie większa niż ${value} w odniesieniu do: ${applyto},,GML Visual story text
GMStdIfVar_Story_7,If ${var} is not less than or equal to ${value},Jeśli zmienna ${var} wynosi co najmniej ${value},,GML Visual story text
GMStdIfVar_Story_8,If ${var} is not less than or equal to ${value} on ${applyto},Jeśli zmienna ${var} wynosi co najmniej ${value} w odniesieniu do: ${applyto},,GML Visual story text
GMStdIfVar_Story_9,If ${var} is not greater than or equal to ${value},Jeśli zmienna ${var} wynosi co najwyżej ${value},,GML Visual story text
GMStdIfVar_Story_10,If ${var} is not greater than or equal to ${value} on ${applyto},Jeśli zmienna ${var} wynosi co najwyżej ${value} w odniesieniu do: ${applyto},,GML Visual story text
GMStdIfVar_Story_11,If ${var} is equal to ${value},Jeśli zmienna ${var} jest równa ${value},,GML Visual story text
GMStdIfVar_Story_12,If ${var} is equal to ${value} on ${applyto},Jeśli zmienna ${var} jest równa ${value} w odniesieniu do: ${applyto},,GML Visual story text
GMStdIfVar_Story_13,If ${var} is less than ${value},Jeśli zmienna ${var} jest mniejsza niż ${value},,GML Visual story text
GMStdIfVar_Story_14,If ${var} is less than ${value} on ${applyto},Jeśli zmienna ${var} jest mniejsza niż ${value} w odniesieniu do: ${applyto},,GML Visual story text
GMStdIfVar_Story_15,If ${var} is greater than ${value},Jeśli zmienna ${var} jest większa niż ${value},,GML Visual story text
GMStdIfVar_Story_16,If ${var} is greater than ${value} on ${applyto},Jeśli zmienna ${var} jest większa niż ${value} w odniesieniu do: ${applyto},,GML Visual story text
GMStdIfVar_Story_17,If ${var} is less than or equal to ${value},Jeśli zmienna ${var} wynosi co najwyżej ${value},,GML Visual story text
GMStdIfVar_Story_18,If ${var} is less than or equal to ${value} on ${applyto},Jeśli zmienna ${var} wynosi co najwyżej ${value} w odniesieniu do: ${applyto},,GML Visual story text
GMStdIfVar_Story_19,If ${var} is greater than or equal to ${value},Jeśli zmienna ${var} wynosi co najmniej ${value},,GML Visual story text
GMStdIfVar_Story_20,If ${var} is greater than or equal to ${value} on ${applyto},Jeśli zmienna ${var} wynosi co najmniej ${value} w odniesieniu do: ${applyto},,GML Visual story text
GMStdIfExpr_Story_1,If ${expr} is true${show_input_count},Jeśli wartość ${expr} jest prawdziwa${show_input_count},,GML Visual story text
GMStdIfExpr_Story_2,If ${expr} is true on ${applyto}${show_input_count},Jeśli wartość ${expr} jest prawdziwa w odniesieniu do: ${applyto}${show_input_count},,GML Visual story text
GMStdIfExpr_Story_3,If ${expr} is false${show_input_count},Jeśli wartość ${expr} jest fałszywa${show_input_count},,GML Visual story text
GMStdIfExpr_Story_4,If ${expr} is false on ${applyto}${show_input_count},Jeśli wartość ${expr} jest fałszywa w odniesieniu do: ${applyto}${show_input_count},,GML Visual story text
GMStdIfUndef_Story_1,If ${var} is undefined${show_input_count},Jeśli wartość ${expr} jest niezdefiniowana${show_input_count},,GML Visual story text
GMStdIfUndef_Story_2,If ${var} is undefined on ${applyto}${show_input_count},Jeśli wartość ${expr} jest niezdefiniowana w odniesieniu do: ${applyto}${show_input_count},,GML Visual story text
GMStdIfUndef_Story_3,If ${var} is not undefined${show_input_count},Jeśli wartość ${expr} nie jest niezdefiniowana${show_input_count},,GML Visual story text
GMStdIfUndef_Story_4,If ${var} is not undefined on ${applyto}${show_input_count},Jeśli wartość ${expr} nie jest niezdefiniowana w odniesieniu do: ${applyto}${show_input_count},,GML Visual story text
GMStdElse_Story,Else,Inaczej,,GML Visual story text
GMStdExCode_Story_1,Execute code,Wykonaj kod,,GML Visual story text
GMStdExCode_Story_2,Execute code on ${applyto},Wykonaj kod w odniesieniu do: ${applyto},,GML Visual story text
GMStdExCode_Story_3,${overridden_name},${overridden_name},,GML Visual story text
GMStdExCode_Story_4,${overridden_name} on ${applyto},${overridden_name} w odniesieniu do: ${applyto},,GML Visual story text
GMStdExScript_Story_1,Execute ${script},Wykonaj skrypt ${script},,GML Visual story text
GMStdExScript_Story_2,Execute ${script} on ${applyto},Wykonaj skrypt ${script} w odniesieniu do: ${applyto},,GML Visual story text
GMStdExScript_Story_3,Execute ${script} with 1 argument,Wykonaj skrypt ${script} z 1 argumentem,,GML Visual story text
GMStdExScript_Story_4,Execute ${script} with 1 argument on ${applyto},Wykonaj skrypt ${script} z 1 argumentem w odniesieniu do: ${applyto},,GML Visual story text
GMStdExScript_Story_5,Execute ${script} with ${input_count} arguments,Wykonaj skrypt ${script} z ${input_count} argumentami,,GML Visual story text
GMStdExScript_Story_6,Execute ${script} with ${input_count} arguments on ${applyto},Wykonaj skrypt ${script} z ${input_count} argumentami w: ${applyto},,GML Visual story text
GMStdExScript_Story_7,Execute and set ${var} to return value of ${script},Wykonaj i ustaw dla zmiennej ${var} wartość zwróconą przez skrypt ${script},,GML Visual story text
GMStdExScript_Story_8,Execute and set ${var} to return value of ${script} on ${applyto},Wykonaj i ustaw dla zmiennej ${var} wartość zwróconą przez skrypt ${script} w odniesieniu do: ${applyto},,GML Visual story text
