Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},Erro: {0},,General error prefix
_Language,Brazilian Portuguese,Brazilian Portuguese,,Language name - in English
_LanguageNative,Brazilian Portuguese,Português do Brasil,,Language name in the native language
_LanguageCode,pt-br,pt-br,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
_MANUAL_LOCATION,http://zeus.yoyogames.com/GMS2_English-master.zip,http://zeus.yoyogames.com/GMS2_English-master.zip,,Location of language manual
_MANUAL_ONLINE_URL,https://manual-br.yoyogames.com,https://manual-br.yoyogames.com,,online manual url
_TUTORIALS_ONLINE_URL,https://www.yoyogames.com/en/tutorials,https://www.yoyogames.com/en/tutorials,,Location of Tutorials url
$win_OpenInExplorer,Open In Explorer,Abrir no Explorer,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,Abrir projeto no Explorer,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,Abrir log no Explorer,,Windows version of Show Log In Explorer
$win_explorer,explorer,explorer,,windows version of explorer
$mac_explorer,finder,finder,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,Mostrar no Finder,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,Mostrar projeto no Finder,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,Mostrar log no Finder,,Mac version of Show Log In Explorer
$win_ctrl,Ctrl,Ctrl,,Windows version of ctrl key
$mac_ctrl,Command,Command,,Mac version of ctrl key
$win_FileMenuExit,Exit,Sair,,Windows version of the Exit main menu entry
$mac_FileMenuExit,Quit,Sair,,Mac version of the Exit main menu entry
$win_IDEMenuHelpAbout,About,Sobre,,Windows version of the About main menu entry
$mac_IDEMenuHelpAbout,About GameMaker,Sobre o GameMaker,,Windows version of the About main menu entry
$win_IDEMenuViews,Windows,Windows,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,Janela,,Mac version of the views menu entry
$win_LaptopRHSKeys,Right Control and Right Alt,Control e Alt à direita,,Windows version of laptop mode keys
$mac_LaptopRHSKeys,Right Command and Right Alt,Command e Alt à direita,,Mac version of laptop mode keys
$win_LaptopLZoomKey,Left Control,Control à esquerda,,Windows laptop mode zoom key
$mac_LaptopLZoomKey,Left Command,Command à esquerda,,Mac laptop mode zoom key
Account_Menu_Login,Login,Login,,"Account menu ""Login"""
Account_Menu_Logout,Logout,Logoff,,"Acount menu ""Logout"""
Account_Menu_ManageAccount,Manage Account,Gerenciar conta,,"Account menu ""Account"""
AnimationManager_InvalidTransition,The transition specified '{0}' is not valid,A transição especificada '{0}' não é válida,,The transition specified in the animation json is not a valid value
BackgroundLayer_HSpeed,Horizontal Speed,Velocidade horizontal,,Numeric textbox label for horizontal scroll speed
BackgroundLayer_HTile,Horizontal Tile,Tile horizontal,,Checkbox label for horizontal tiling
BackgroundLayer_NoBackground,<no background>,<no background>,,no background selected caption for the background layer button
BackgroundLayer_PosX,X Offset,Deslocamento de X,,Numeric textbox label for x pos offset
BackgroundLayer_PosY,Y Offset,Deslocamento de Y,,numeric textbox label for y pos offset
BackgroundLayer_Stretch,Stretch,Ampliação,,Checkbox label for stretch
