Name,English,Translation,Restrictions,Comment
_Language,Brazilian Portuguese,Brazilian Portuguese,,Language name - in English
_LanguageNative,Brazilian Portuguese,Português do Brasil,,Language name in the native language
_LanguageCode,pt-br,pt-br,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
GMStdVar_Story_1,Set ${var} to ${expr}${show_input_count},Definir ${var} como ${expr}${show_input_count},,GML Visual story text
GMStdVar_Story_2,Set ${var} to ${expr} on ${applyto}${show_input_count},Definir ${var} como ${expr} em ${applyto}${show_input_count},,GML Visual story text
GMStdVar_Story_3,Add ${expr} to ${var}${show_input_count},Adicionar ${expr} a ${var}${show_input_count},,GML Visual story text
GMStdVar_Story_4,Add ${expr} to ${var} on ${applyto}${show_input_count},Adicionar ${expr} a ${var} em ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_1,Declare temp ${var}${show_input_count},Declarar ${var}${show_input_count} temporário,,GML Visual story text
GMStdTempVar_Story_2,Declare temp ${var} on ${applyto}${show_input_count},Declarar ${var} temporário em ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_3,Declare temp ${var} and set it to ${value}${show_input_count},Declarar ${var} temporário e defini-lo em ${value}${show_input_count},,GML Visual story text
GMStdTempVar_Story_4,Declare temp ${var} and set it to ${value} on ${applyto}${show_input_count},Declarar ${var} temporário e defini-lo como ${value} em ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_1,Set global variable ${var} to ${value}${show_input_count},Definir variável global ${var} como ${value}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_2,Set global variable ${var} to ${value} on ${applyto}${show_input_count},Definir variável global ${var} como ${value} em ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_3,Add ${value} to global variable ${var}${show_input_count},Adicionar ${value} a variável global ${var}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_4,Add ${value} to global variable ${var} on ${applyto}${show_input_count},Adicionar ${value} a variável global ${var} em ${applyto}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_1,Get global variable ${var} into ${output}${show_input_count},Obter variável global ${var} em ${output}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_2,Get global variable ${var} into ${output} on ${applyto}${show_input_count},Obter variável global ${var} em ${output} em ${applyto}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_3,Get global variable ${var} into temp ${output}${show_input_count},Obter variável global ${var} em ${output}${show_input_count} temporário,,GML Visual story text
GMStdGetGlobal_Story_4,Get global variable ${var} into temp ${output} on ${applyto}${show_input_count},Obter variável global ${var} em ${output} temporário em ${applyto}${show_input_count},,GML Visual story text
GMStdIfVar_Story_1,If ${var} is not equal to ${value},Se ${var} não é igual a ${value},,GML Visual story text
GMStdIfVar_Story_2,If ${var} is not equal to ${value} on ${applyto},Se ${var} não é igual a ${value} em ${applyto},,GML Visual story text
GMStdIfVar_Story_3,If ${var} is not less than ${value},Se ${var} não é menor que ${value},,GML Visual story text
GMStdIfVar_Story_4,If ${var} is not less than ${value} on ${applyto},Se ${var} não é menor que ${value} em ${applyto},,GML Visual story text
GMStdIfVar_Story_5,If ${var} is not greater than ${value},Se ${var} não é maior que ${value},,GML Visual story text
GMStdIfVar_Story_6,If ${var} is not greater than ${value} on ${applyto},Se ${var} não é maior que ${value} em ${applyto},,GML Visual story text
GMStdIfVar_Story_7,If ${var} is not less than or equal to ${value},Se ${var} não é menor ou igual a ${value},,GML Visual story text
GMStdIfVar_Story_8,If ${var} is not less than or equal to ${value} on ${applyto},Se ${var} não é menor ou igual a ${value} em ${applyto},,GML Visual story text
GMStdIfVar_Story_9,If ${var} is not greater than or equal to ${value},Se ${var} não é maior ou igual a ${value},,GML Visual story text
GMStdIfVar_Story_10,If ${var} is not greater than or equal to ${value} on ${applyto},Se ${var} não é maior ou igual a ${value} em ${applyto},,GML Visual story text
GMStdIfVar_Story_11,If ${var} is equal to ${value},Se ${var} é igual a ${value},,GML Visual story text
GMStdIfVar_Story_12,If ${var} is equal to ${value} on ${applyto},Se ${var} é igual a ${value} em ${applyto},,GML Visual story text
GMStdIfVar_Story_13,If ${var} is less than ${value},Se ${var} é menor que ${value},,GML Visual story text
GMStdIfVar_Story_14,If ${var} is less than ${value} on ${applyto},Se ${var} é menor que ${value} em ${applyto},,GML Visual story text
GMStdIfVar_Story_15,If ${var} is greater than ${value},Se ${var} é maior que ${value},,GML Visual story text
GMStdIfVar_Story_16,If ${var} is greater than ${value} on ${applyto},Se ${var} é maior que ${value} em ${applyto},,GML Visual story text
GMStdIfVar_Story_17,If ${var} is less than or equal to ${value},Se ${var} é menor ou igual a ${value},,GML Visual story text
GMStdIfVar_Story_18,If ${var} is less than or equal to ${value} on ${applyto},Se ${var} é menor ou igual a ${value} em ${applyto},,GML Visual story text
GMStdIfVar_Story_19,If ${var} is greater than or equal to ${value},Se ${var} é maior ou igual a ${value},,GML Visual story text
GMStdIfVar_Story_20,If ${var} is greater than or equal to ${value} on ${applyto},Se ${var} é maior ou igual a ${value} em ${applyto},,GML Visual story text
GMStdIfExpr_Story_1,If ${expr} is true${show_input_count},Se ${expr} é true${show_input_count},,GML Visual story text
GMStdIfExpr_Story_2,If ${expr} is true on ${applyto}${show_input_count},Se ${expr} é verdadeiro em ${applyto}${show_input_count},,GML Visual story text
