Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},Ошибка: {0},,General error prefix
_Language,English,Russian,,Language name - in English
_LanguageNative,English,Русский,,Language name in the native language
_LanguageCode,ru,ru,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
_MANUAL_LOCATION,http://zeus.yoyogames.com/GMS2_English-master.zip,http://zeus.yoyogames.com/GMS2_English-master.zip,,Location of language manual
_MANUAL_ONLINE_URL,https://manual-ru.yoyogames.com,https://manual-ru.yoyogames.com,,online manual url
_TUTORIALS_ONLINE_URL,https://www.yoyogames.com/ru/tutorials,https://www.yoyogames.com/ru/tutorials,,Location of Tutorials url
$win_OpenInExplorer,Open In Explorer,Открыть в Explorer,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,Открыть проект в Explorer,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,Открыть лог в Explorer,,Windows version of Show Log In Explorer
$win_explorer,explorer,explorer,,windows version of explorer
$mac_explorer,finder,finder,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,Показать в Finder,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,Показать проект в Finder,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,Открыть лог в Finder,,Mac version of Show Log In Explorer
$win_ctrl,Ctrl,Ctrl,,Windows version of ctrl key
$mac_ctrl,Command,Command,,Mac version of ctrl key
$win_FileMenuExit,Exit,Выход,,Windows version of the Exit main menu entry
$mac_FileMenuExit,Quit,Выйти,,Mac version of the Exit main menu entry
$win_IDEMenuHelpAbout,About,О программе,,Windows version of the About main menu entry
$mac_IDEMenuHelpAbout,About GameMaker,О GameMaker,,Windows version of the About main menu entry
$win_IDEMenuViews,Windows,Окна,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,Окно,,Mac version of the views menu entry
$win_LaptopRHSKeys,Right Control and Right Alt,Правый Control и правый Alt,,Windows version of laptop mode keys
