Name,English,Translation,Restrictions,Comment
_Language,Russian,Russian,,Language name - in English
_LanguageNative,English,Русский,,Language name in the native language
_LanguageCode,en,ru,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
GMStdVar_Story_1,Set ${var} to ${expr}${show_input_count},Установить ${var} на ${expr}${show_input_count},,GML Visual story text
GMStdVar_Story_2,Set ${var} to ${expr} on ${applyto}${show_input_count},Установить ${var} на ${expr} на ${applyto}${show_input_count},,GML Visual story text
GMStdVar_Story_3,Add ${expr} to ${var}${show_input_count},Добавить ${expr} к ${var}${show_input_count},,GML Visual story text
GMStdVar_Story_4,Add ${expr} to ${var} on ${applyto}${show_input_count},Добавить ${expr} к ${var} на ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_1,Declare temp ${var}${show_input_count},Объявить врем. ${var}${show_input_count},,GML Visual story text
GMStdTempVar_Story_2,Declare temp ${var} on ${applyto}${show_input_count},Объявить врем. ${var} на ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_3,Declare temp ${var} and set it to ${value}${show_input_count},Объявить врем. ${var} и установить на ${value}${show_input_count},,GML Visual story text
GMStdTempVar_Story_4,Declare temp ${var} and set it to ${value} on ${applyto}${show_input_count},Объявить врем. ${var} и установить его на ${value} на ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_1,Set global variable ${var} to ${value}${show_input_count},Установить глобальную переменную ${var} на ${value}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_2,Set global variable ${var} to ${value} on ${applyto}${show_input_count},Установить глобальную переменную ${var} на ${value} на ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_3,Add ${value} to global variable ${var}${show_input_count},Добавить ${value} к глобальной переменной ${var}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_4,Add ${value} to global variable ${var} on ${applyto}${show_input_count},Добавить ${value} к глобальной переменной ${var} на ${applyto}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_1,Get global variable ${var} into ${output}${show_input_count},Получить глобальную переменную ${var} в ${output}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_2,Get global variable ${var} into ${output} on ${applyto}${show_input_count},Получить глобальную переменную ${var} в ${output} на ${applyto}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_3,Get global variable ${var} into temp ${output}${show_input_count},Получить глобальную переменную ${var} во врем. ${output}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_4,Get global variable ${var} into temp ${output} on ${applyto}${show_input_count},Получить глобальную переменную ${var} во врем. ${output} на ${applyto}${show_input_count},,GML Visual story text
GMStdIfVar_Story_1,If ${var} is not equal to ${value},Если ${var} не равно ${value},,GML Visual story text
GMStdIfVar_Story_2,If ${var} is not equal to ${value} on ${applyto},Если ${var} не равно ${value} на ${applyto},,GML Visual story text
GMStdIfVar_Story_3,If ${var} is not less than ${value},Если ${var} не меньше ${value},,GML Visual story text
GMStdIfVar_Story_4,If ${var} is not less than ${value} on ${applyto},Если ${var} не меньше ${value} на ${applyto},,GML Visual story text
GMStdIfVar_Story_5,If ${var} is not greater than ${value},Если ${var} не больше ${value},,GML Visual story text
GMStdIfVar_Story_6,If ${var} is not greater than ${value} on ${applyto},Если ${var} не больше ${value} на ${applyto},,GML Visual story text
GMStdIfVar_Story_7,If ${var} is not less than or equal to ${value},Если ${var} не меньше или равно ${value},,GML Visual story text
GMStdIfVar_Story_8,If ${var} is not less than or equal to ${value} on ${applyto},Если ${var} не меньше или равно ${value} на ${applyto},,GML Visual story text
GMStdIfVar_Story_9,If ${var} is not greater than or equal to ${value},Если ${var} не больше или равно ${value},,GML Visual story text
GMStdIfVar_Story_10,If ${var} is not greater than or equal to ${value} on ${applyto},Если ${var} не больше или равно ${value} на ${applyto},,GML Visual story text
GMStdIfVar_Story_11,If ${var} is equal to ${value},Если ${var} равно ${value},,GML Visual story text
GMStdIfVar_Story_12,If ${var} is equal to ${value} on ${applyto},Если ${var} равно ${value} на ${applyto},,GML Visual story text
GMStdIfVar_Story_13,If ${var} is less than ${value},Если ${var} меньше ${value},,GML Visual story text
GMStdIfVar_Story_14,If ${var} is less than ${value} on ${applyto},Если ${var} меньше ${value} на ${applyto},,GML Visual story text
GMStdIfVar_Story_15,If ${var} is greater than ${value},Если ${var} больше ${value},,GML Visual story text
GMStdIfVar_Story_16,If ${var} is greater than ${value} on ${applyto},Если ${var} больше ${value} на ${applyto},,GML Visual story text
GMStdIfVar_Story_17,If ${var} is less than or equal to ${value},Если ${var} меньше или равно ${value},,GML Visual story text
GMStdIfVar_Story_18,If ${var} is less than or equal to ${value} on ${applyto},Если ${var} меньше или равно ${value} на ${applyto},,GML Visual story text
GMStdIfVar_Story_19,If ${var} is greater than or equal to ${value},Если ${var} больше или равно ${value},,GML Visual story text
GMStdIfVar_Story_20,If ${var} is greater than or equal to ${value} on ${applyto},Если ${var} больше или равно ${value} на ${applyto},,GML Visual story text
GMStdIfExpr_Story_1,If ${expr} is true${show_input_count},Если ${expr} верно${show_input_count},,GML Visual story text
GMStdIfExpr_Story_2,If ${expr} is true on ${applyto}${show_input_count},Если ${expr} верно на ${applyto}${show_input_count},,GML Visual story text
GMStdIfExpr_Story_3,If ${expr} is false${show_input_count},Если ${expr} неверно${show_input_count},,GML Visual story text
GMStdIfExpr_Story_4,If ${expr} is false on ${applyto}${show_input_count},Если ${expr} неверно на ${applyto}${show_input_count},,GML Visual story text
GMStdIfUndef_Story_1,If ${var} is undefined${show_input_count},Если ${var} не определено${show_input_count},,GML Visual story text
GMStdIfUndef_Story_2,If ${var} is undefined on ${applyto}${show_input_count},Если ${var} не определено на ${applyto}${show_input_count},,GML Visual story text
GMStdIfUndef_Story_3,If ${var} is not undefined${show_input_count},Если ${var} определено${show_input_count},,GML Visual story text
GMStdIfUndef_Story_4,If ${var} is not undefined on ${applyto}${show_input_count},Если ${var} определено на ${applyto}${show_input_count},,GML Visual story text
GMStdElse_Story,Else,Прочее,,GML Visual story text
GMStdExCode_Story_1,Execute code,Код выполнения,,GML Visual story text
GMStdExCode_Story_2,Execute code on ${applyto},Код выполнения на ${applyto},,GML Visual story text
GMStdExCode_Story_3,${overridden_name},${overridden_name},,GML Visual story text
GMStdExCode_Story_4,${overridden_name} on ${applyto},${overridden_name} на ${applyto},,GML Visual story text
GMStdExScript_Story_1,Execute ${script},Выполнить ${script},,GML Visual story text
GMStdExScript_Story_2,Execute ${script} on ${applyto},Выполнить ${script} на ${applyto},,GML Visual story text
GMStdExScript_Story_3,Execute ${script} with 1 argument,Выполнить ${script} с 1 аргументом,,GML Visual story text
GMStdExScript_Story_4,Execute ${script} with 1 argument on ${applyto},Выполнить ${script} с 1 аргументом на ${applyto},,GML Visual story text
GMStdExScript_Story_5,Execute ${script} with ${input_count} arguments,Выполнить ${script} с ${input_count} аргументами,,GML Visual story text
GMStdExScript_Story_6,Execute ${script} with ${input_count} arguments on ${applyto},Выполнить ${script} с ${input_count} аргументами на ${applyto},,GML Visual story text
GMStdExScript_Story_7,Execute and set ${var} to return value of ${script},Выполнить и установить ${var} на возвратное значение ${script},,GML Visual story text
GMStdExScript_Story_8,Execute and set ${var} to return value of ${script} on ${applyto},Выполнить и установить ${var} на возвратное значение ${script} на ${applyto},,GML Visual story text
GMStdExScript_Story_9,Execute and set ${var} to return value of ${script} with 1 argument,Выполнить и установить ${var} на возвратное значение ${script} с 1 аргументом,,GML Visual story text
GMStdExScript_Story_10,Execute and set ${var} to return value of ${script} with 1 argument on ${applyto},Выполнить и установить ${var} на возвратное значение ${script} с 1 аргументом на ${applyto},,GML Visual story text
GMStdExScript_Story_11,Execute and set ${var} to return value of ${script} with ${input_count} arguments,Выполнить и установить ${var} на возвратное значение ${script} с ${input_count} аргументами,,GML Visual story text
GMStdExScript_Story_12,Execute and set ${var} to return value of ${script} with ${input_count} arguments on ${applyto},Выполнить и установить ${var} на возвратное значение ${script} с ${input_count} аргументами на ${applyto},,GML Visual story text
GMStdExScript_Story_13,Execute and set temp ${var} to return value of ${script},Выполнить и установить врем. ${var} на возвратное значение ${script},,GML Visual story text
GMStdExScript_Story_14,Execute and set temp ${var} to return value of ${script} on ${applyto},Выполнить и установить врем. ${var} на возвратное значение ${script} на ${applyto},,GML Visual story text
GMStdExScript_Story_15,Execute and set temp ${var} to return value of ${script} with 1 argument,Выполнить и установить врем. ${var} на возвратное значение ${script} с 1 аргументом,,GML Visual story text
GMStdExScript_Story_16,Execute and set temp ${var} to return value of ${script} with 1 argument on ${applyto},Выполнить и установить врем. ${var} на возвратное значение ${script} с 1 аргументом на ${applyto},,GML Visual story text
GMStdExScript_Story_17,Execute and set temp ${var} to return value of ${script} with ${input_count} arguments,Выполнить и установить врем. ${var} на возвратное значение ${script} с ${input_count} аргументами,,GML Visual story text
GMStdExScript_Story_18,Execute and set temp ${var} to return value of ${script} with ${input_count} arguments on ${applyto},Выполнить и установить врем. ${var} на возвратное значение ${script} с ${input_count} аргументами на ${applyto},,GML Visual story text
GMStdCallFunction_Story_1,Call ${function},Вызвать ${function},,GML Visual story text
GMStdCallFunction_Story_2,Call ${function} on ${applyto},Вызвать ${function} на ${applyto},,GML Visual story text
GMStdCallFunction_Story_3,Call ${function} with 1 argument,Вызвать ${function} с 1 аргументом,,GML Visual story text
GMStdCallFunction_Story_4,Call ${function} with 1 argument on ${applyto},Вызвать ${function} с 1 аргументом на ${applyto},,GML Visual story text
GMStdCallFunction_Story_5,Call ${function} with ${input_count} arguments,Вызвать ${function} с ${input_count} аргументами,,GML Visual story text
GMStdCallFunction_Story_6,Call ${function} with ${input_count} arguments on ${applyto},Вызвать ${function} с ${input_count} аргументами на ${applyto},,GML Visual story text
GMStdCallFunction_Story_7,Set ${var} to return value of ${function},Установить ${var} на возвратное значение ${function},,GML Visual story text
GMStdCallFunction_Story_8,Set ${var} to return value of ${function} on ${applyto},Установить ${var} на возвратное значение ${function} на ${applyto},,GML Visual story text
GMStdCallFunction_Story_9,Set ${var} to return value of ${function} with 1 argument,Установить ${var} на возвратное значение ${function} с 1 аргументом,,GML Visual story text
GMStdCallFunction_Story_10,Set ${var} to return value of ${function} with 1 argument on ${applyto},Установить ${var} на возвратное значение ${function} с 1 аргументом на ${applyto},,GML Visual story text
GMStdCallFunction_Story_11,Set ${var} to return value of ${function} with ${input_count} arguments,Установить ${var} на возвратное значение ${function} с ${input_count} аргументами,,GML Visual story text
GMStdCallFunction_Story_12,Set ${var} to return value of ${function} with ${input_count} arguments on ${applyto},Установить ${var} на возвратное значение ${function} с ${input_count} аргументами на ${applyto},,GML Visual story text
GMStdCallFunction_Story_13,Set temp ${var} to return value of ${function},Установить врем. ${var} на возвратное значение ${function},,GML Visual story text
GMStdCallFunction_Story_14,Set temp ${var} to return value of ${function} on ${applyto},Установить врем. ${var} на возвратное значение ${function} на ${applyto},,GML Visual story text
