Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},Error: {0},,General error prefix
_Language,Spanish,Spanish,,Language name - in English
_LanguageNative,Spanish,Español,,Language name in the native language
_LanguageCode,es,es,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
_MANUAL_LOCATION,"http://zeus.yoyogames.com/GMS2-Robohelp-spanish-2.3.1.24.zip","http://zeus.yoyogames.com/GMS2-Robohelp-spanish-2.3.1.24.zip",,Location of language manual
_MANUAL_ONLINE_URL,https://manual-es.yoyogames.com,https://manual-es.yoyogames.com,,online manual url
_TUTORIALS_ONLINE_URL,https://www.yoyogames.com/es/tutorials,https://www.yoyogames.com/es/tutorials,,Location of Tutorials url
$win_OpenInExplorer,Open In Explorer,Abrir en el explorador,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,Abrir proyecto en el explorador,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,Abrir registro en el explorador,,Windows version of Show Log In Explorer
$win_explorer,explorer,explorador,,windows version of explorer
$mac_explorer,finder,buscador,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,Mostrar en el buscador,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,Mostrar proyecto en el buscador,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,Mostrar registro en el buscador,,Mac version of Show Log In Explorer
$win_ctrl,Ctrl,Ctrl,,Windows version of ctrl key
$mac_ctrl,Command,Command,,Mac version of ctrl key
$win_FileMenuExit,Exit,Salir,,Windows version of the Exit main menu entry
$mac_FileMenuExit,Quit,Salir,,Mac version of the Exit main menu entry
$win_IDEMenuHelpAbout,About,Acerca de,,Windows version of the About main menu entry
$mac_IDEMenuHelpAbout,About GameMaker,Acerca de GameMaker,,Windows version of the About main menu entry
$win_IDEMenuViews,Windows,Ventanas,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,Ventana,,Mac version of the views menu entry
Account_Menu_Login,Login,Iniciar sesión,,Account menu "Login"
Account_Menu_Logout,Logout,Cerrar sesión,,Acount menu "Logout"
Account_Menu_ManageAccount,Manage Account,Gestionar cuenta,,Account menu "Account"
AnimationManager_InvalidTransition,The transition specified '{0}' is not valid,La transición especificada "{0}" no es válida,,The transition specified in the animation json is not a valid value
BackgroundLayer_HSpeed,Horizontal Speed,Velocidad horizontal,,Numeric textbox label for horizontal scroll speed
BackgroundLayer_HTile,Horizontal Tile,Casilla horizontal,,Checkbox label for horizontal tiling
BackgroundLayer_NoBackground,<no background>,<sin fondo>,,no background selected caption for the background layer button
BackgroundLayer_PosX,X Offset,Offset X,,Numeric textbox label for x pos offset
BackgroundLayer_PosY,Y Offset,Offset Y,,numeric textbox label for y pos offset
BackgroundLayer_Stretch,Stretch,Estirar,,Checkbox label for stretch
BackgroundLayer_VSpeed,Vertical Speed,Velocidad vertical,,Numeric textbox label for vertical scroll speed
BackgroundLayer_VTile,Vertical Tile,Casilla vertical,,Checkbox label for vertical tiling
Breakpoints,Breakpoints,Interrupciones,,Breakpoints
Breakpoint_Delete,Delete Breakpoint,Borrar interrupción,,delete breakpoint menu option
Breakpoint_GotoCode,Go To Code,Ir al código,,breakpoint show code menu option
