Name,English,Translation,Restrictions,Comment
_Language,Spanish,Spanish,,Language name - in English
_LanguageNative,Spanish,Español,,Language name in the native language
_LanguageCode,es,es,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
GMStdVar_Story_1,Set ${var} to ${expr}${show_input_count},Establecer ${var} a ${expr}${show_input_count},,GML Visual story text
GMStdVar_Story_2,Set ${var} to ${expr} on ${applyto}${show_input_count},Establecer ${var} a ${expr} en ${applyto}${show_input_count},,GML Visual story text
GMStdVar_Story_3,Add ${expr} to ${var}${show_input_count},Añadir ${expr} a ${var}${show_input_count},,GML Visual story text
GMStdVar_Story_4,Add ${expr} to ${var} on ${applyto}${show_input_count},Añadir ${expr} a ${var} en ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_1,Declare temp ${var}${show_input_count},Declarar temp ${var}${show_input_count},,GML Visual story text
GMStdTempVar_Story_2,Declare temp ${var} on ${applyto}${show_input_count},Declarar temp ${var} en ${applyto}${show_input_count},,GML Visual story text
GMStdTempVar_Story_3,Declare temp ${var} and set it to ${value}${show_input_count},Declarar temp ${var} y establecerla a  ${value}${show_input_count},,GML Visual story text
GMStdTempVar_Story_4,Declare temp ${var} and set it to ${value} on ${applyto}${show_input_count},Declarar temp ${var} y establecerla a ${value} en ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_1,Set global variable ${var} to ${value}${show_input_count},Establecer variable global ${var} a ${value}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_2,Set global variable ${var} to ${value} on ${applyto}${show_input_count},Establecer variable global ${var} a ${value} en ${applyto}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_3,Add ${value} to global variable ${var}${show_input_count},Añadir ${value} a variable global ${var}${show_input_count},,GML Visual story text
GMStdSetGlobal_Story_4,Add ${value} to global variable ${var} on ${applyto}${show_input_count},Añadir ${value} a variable global ${var} en ${applyto}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_1,Get global variable ${var} into ${output}${show_input_count},Obtener variable global ${var} dentro de ${output}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_2,Get global variable ${var} into ${output} on ${applyto}${show_input_count},Obtener variable global ${var} dentro de ${output} en ${applyto}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_3,Get global variable ${var} into temp ${output}${show_input_count},Obtener variable global ${var} dentro de temp ${output}${show_input_count},,GML Visual story text
GMStdGetGlobal_Story_4,Get global variable ${var} into temp ${output} on ${applyto}${show_input_count},Obtener variable global ${var} dentro de temp ${output} en ${applyto}${show_input_count},,GML Visual story text
GMStdIfVar_Story_1,If ${var} is not equal to ${value},Si ${var} no es igual a ${value},,GML Visual story text
GMStdIfVar_Story_2,If ${var} is not equal to ${value} on ${applyto},Si ${var} no es igual a ${value} en ${applyto},,GML Visual story text
GMStdIfVar_Story_3,If ${var} is not less than ${value},Si ${var} no es menor que ${value},,GML Visual story text
